fund,selected_source,date,price,fallback,zwitserleven_date,candidate_count,url
Zwitserleven PPI Vanguard Europe,zwitserleven,2026-09-07,52.53,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PPI Vanguard Inflation Linked Bond Index,zwitserleven,2026-09-07,50.85,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PPI Vanguard Japan,zwitserleven,2026-09-07,53.09,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PPI Vanguard Small Cap,zwitserleven,2026-09-07,60.58,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PPI Vanguard US 500 Hedged,zwitserleven,2026-09-07,56.57,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PPI Vanguard US 500 Unhed,zwitserleven,2026-09-07,50.88,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PPI iShares Government Bond index,zwitserleven,2026-09-07,49.05,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Collectief Garantiefonds,zwitserleven,2026-09-07,20.12,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Doorlopend Garantiefonds,zwitserleven,2026-09-07,13.21,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Europees Beheer Fonds 3%,zwitserleven,2026-09-07,190.80,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Europees Beheer Fonds 4%,zwitserleven,2026-09-07,192.82,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Garandement,zwitserleven,2026-09-07,15.67,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Garantie Plusfonds,zwitserleven,2026-09-07,18.22,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Garantiefonds,zwitserleven,2026-09-07,13.48,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Safetyfonds,zwitserleven,2026-09-07,112.70,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Vastrentendfonds,zwitserleven,2026-09-07,19.27,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Vastrentendfonds Nederland 3%,zwitserleven,2026-09-07,19.74,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Vastrentendfonds Nederland 4%,zwitserleven,2026-09-07,19.74,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Verzekerd Rendementfonds,zwitserleven,2026-09-07,15.21,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Wereldbeheerfonds 3%,zwitserleven,2026-09-07,143.14,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven PW Wereldbeheerfonds 4%,zwitserleven,2026-09-07,144.46,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven RendementsGarantie 1%,zwitserleven,2026-09-07,23.43,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven RendementsGarantie 2%,zwitserleven,2026-09-07,26.61,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven Selectie Fonds,cardano,2026-09-08,41.07,true,2026-09-07,2,https://www.cardano.nl/onze-fondsen/zwitserleven-selectie-fonds/
Zwitserleven Ultra Long Duration Fonds,cardano,2026-09-08,20.70,true,2026-09-07,2,https://www.cardano.nl/onze-fondsen/zwitserleven-ultra-long-duration-fonds/
Zwitserleven VP Credits Hypothekenmix,zwitserleven,2026-09-07,9.96,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven VP Obligatie,zwitserleven,2026-09-07,8.67,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven VP Selectie,zwitserleven,2026-09-07,10.46,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven VP Wereld Aandelen,zwitserleven,2026-09-07,15.43,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven Vanguard Emerging,zwitserleven,2026-09-07,24.28,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven Vanguard Europe,zwitserleven,2026-09-07,26.27,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven Vanguard Inflation Linked Bond Index,zwitserleven,2026-09-07,25.40,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven Vanguard Japan,zwitserleven,2026-09-07,26.54,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven Vanguard Small Cap,zwitserleven,2026-09-07,30.27,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven Vanguard US 500 Hedged,zwitserleven,2026-09-07,28.24,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven Vanguard US 500 Unhed,zwitserleven,2026-09-07,25.44,false,2026-09-07,1,https://www.zwitserleven.nl/over-zwitserleven/verantwoord-beleggen/fondsen/
Zwitserleven Vastgoedfonds,cardano,2026-09-08,25.66,true,2026-09-07,2,https://www.cardano.nl/onze-fondsen/zwitserleven-vastgoedfonds/
Zwitserleven Wereld Aandelenfonds,cardano,2026-09-08,99.43,true,2026-09-07,2,https://www.cardano.nl/onze-fondsen/zwitserleven-wereld-aandelenfonds/
