date,fund,price
2026-02-23,PP Euro Mixfonds,42.78
2026-02-23,Zwitserleven Index Wereld Aandelenfonds,90.53
2026-02-23,Etappe Staatsobligaties 10+ Fonds,21.88
2026-02-23,Optimaal Vastgoedfonds,35.54
2026-02-23,Zwitserleven VP Obligatie,8.92
2026-02-23,Optimaal Staatsobligaties 10+ Fonds,22.05
2026-02-23,Zwitserleven PW Vastrentendfonds Nederland 3%,20.09
2026-02-23,Optimaalfonds Oranje,38.15
2026-02-23,Zwitserleven Mixfonds,59.73
2026-02-23,Euro Mixfonds,39.71
2026-02-23,Zwitserleven Credits Fonds,11.54
2026-02-23,Zwitserleven Credits Hypotheken Mixfonds,11.47
2026-02-23,Zwitserleven Duurzaam Wereld Aandelenfonds,37.59
2026-02-23,Zwitserleven Europees Aandelenfonds,38.73
2026-02-23,Zwitserleven Government Bonds 10+ Fonds,8.3
2026-02-23,Zwitserleven Index Aandelenfonds Europa,44.47
2026-02-23,Zwitserleven Index Aandelenfonds Noord-Amerika,49.3
2026-02-23,Zwitserleven Index Aandelenfonds Opkomende Landen,34.85
2026-02-23,ASN Duurzaam Aandelenfonds,198.54
2026-02-23,PP Optimaal Euro Mixfonds,41.9
2026-02-23,Zwitserleven RZL Vastgoedfonds,46.99
2026-02-23,Zwitserleven Lifestyle Garantie,168.55
2026-02-23,Zwitserleven Long Duration Fonds,26.92
2026-02-23,Zwitserleven MaatschappijGarantie (2%),41.6
2026-02-23,Zwitserleven MaatschappijGarantie (3%),46.35
2026-02-23,Zwitserleven MaatschappijGarantie plus,53.4
2026-02-23,Zwitserleven Medium Duration Fonds,28.38
2026-02-23,Zwitserleven Index Aandelenfonds Pacific,39.62
2026-02-23,Etappe Euro Aandelen­fonds,62.75
2026-02-23,Zwitserleven Obligatiefonds,17.63
2026-02-23,Zwitserleven PW Vastrentendfonds,19.61
2026-02-23,ASN Duurzaam Obligatiefonds,25.7
2026-02-23,Zwitserleven PW Europees Beheer Fonds 4%,190.64
2026-02-23,Euro Obligatiefonds,24.77
2026-02-23,Zwitserleven RZL Euro Obligatiefonds,26.79
2026-02-23,Etappe Euro Obligatie­fonds,25.98
2026-02-23,Zwitserleven PW Garandement,15.97
2026-02-23,Zwitserleven RZL Euro Mixfonds,45.0
2026-02-23,Zwitserleven PW Collectief Garantiefonds,20.26
2026-02-23,Zwitserleven PW Doorlopend Garantiefonds,13.48
2026-02-23,Zwitserleven PW Europees Beheer Fonds 3%,188.71
2026-02-23,Zwitserleven Kortlopend Obligatiefonds,6.09
2026-02-23,Zwitserleven PW Garantie Plusfonds,18.34
2026-02-23,Zwitserleven PW Wereldbeheerfonds 3%,140.29
2026-02-23,Zwitserleven PW Vastrentendfonds Nederland 4%,20.09
2026-02-23,Euro Aandelen­fonds,61.61
2026-02-23,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.81
2026-02-23,Wereld Beheer Mixfonds,39.3
2026-02-23,Zwitserleven PW Wereldbeheerfonds 4%,141.54
2026-02-23,Zwitserleven PW Garantiefonds,13.44
2026-02-23,Zwitserleven Amerika Aandelenfonds,99.68
2026-02-23,Zwitserleven PPI iShares Government Bond index Fund,50.55
2026-02-23,Zwitser­leven Vanguard US 500 Stock Index Fund,25.5
2026-02-23,Zwitserleven VP Wereld Aandelen,13.59
2026-02-23,Zwitserleven RZL Europa Aandelenfonds,58.81
2026-02-23,Zwitserleven RZL Wereld Aandelenfonds,62.59
2026-02-23,Zwitserleven RendementsGarantie 1%,23.11
2026-02-23,Zwitserleven RendementsGarantie 2%,26.24
2026-02-23,Zwitserleven Selectie Fonds,41.02
2026-02-23,Zwitserleven Ultra Long Duration Fonds,22.73
2026-02-23,Zwitserleven PW Safetyfonds,112.62
2026-02-23,PP Euro Obligatiefonds,25.86
2026-02-23,Zwitserleven PPI Vanguard Small Cap Fund,55.69
2026-02-23,Zwitserleven RZL Euro Kortlopend Obligatiefonds,20.07
2026-02-23,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.38
2026-02-23,Zwitserleven Vanguard Small Cap Fund,27.78
2026-02-23,Zwitserleven Vastgoedfonds,25.76
2026-02-23,Zwitserleven Wereld Aandelenfonds,87.14
2026-02-23,Zwitser­leven Geldmarkt­fonds,25.21
2026-02-23,Zwitser­leven PPI Geldmarkt­fonds,50.42
2026-02-23,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,51.0
2026-02-24,Optimaal Vastgoedfonds,35.57
2026-02-24,Zwitserleven RZL Euro Mixfonds,44.99
2026-02-24,ASN Milieu & Waterfonds,52.99
2026-02-24,Zwitserleven VP Credits Hypothekenmix,10.08
2026-02-24,PP Euro Mixfonds,42.78
2026-02-24,ASN Duurzaam Aandelenfonds,196.94
2026-02-24,Etappe Euro Aandelen­fonds,62.67
2026-02-24,Euro Aandelen­fonds,61.53
2026-02-24,PP Optimaal Euro Mixfonds,41.89
2026-02-24,PP Wereld Aandelenfonds,77.9
2026-02-24,Euro Obligatiefonds,24.8
2026-02-24,Optimaal Euro Obligatiefonds,25.0
2026-02-24,Zwitserleven VP Obligatie,8.93
2026-02-24,PP Euro Aandelenfonds,65.87
2026-02-24,Etappe Euro Obligatie­fonds,26.01
2026-02-24,Zwitserleven Index Wereld Aandelenfonds,90.19
2026-02-24,ASN Duurzaam Obligatiefonds,25.74
2026-02-24,Optimaalfonds Oranje,38.13
