date,fund,price
2026-02-27,Zwitserleven VP Selectie,10.49
2026-02-27,Zwitserleven RZL Vastgoedfonds,47.44
2026-02-27,Zwitserleven PW Garantiefonds,13.48
2026-02-27,Optimaal Euro Obligatiefonds,25.02
2026-02-27,PP Wereld Aandelenfonds,78.82
2026-02-27,Zwitserleven Index Wereld Aandelenfonds,91.39
2026-02-27,Zwitserleven PW Safetyfonds,113.1
2026-02-27,Optimaal Vastgoedfonds,35.88
2026-02-27,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,50.98
2026-02-27,Zwitserleven RZL Amerika Aandelenfonds,91.05
2026-02-27,Zwitserleven RZL Azië Aandelenfonds,50.46
2026-02-27,Zwitserleven VP Obligatie,8.94
2026-02-27,Zwitserleven RZL Euro Kortlopend Obligatiefonds,20.08
2026-02-27,Euro Obligatiefonds,24.81
2026-02-27,Zwitserleven VP Credits Hypothekenmix,10.08
2026-02-27,Zwitser­leven Vanguard US 500 Stock Index Fund,25.49
2026-02-27,Zwitserleven PPI Vanguard Small Cap Fund,55.94
2026-02-27,Zwitserleven RZL Europa Aandelenfonds,59.32
2026-02-27,Zwitserleven RZL Wereld Aandelenfonds,63.15
2026-02-27,Zwitserleven RendementsGarantie 1%,23.12
2026-02-27,Zwitserleven RendementsGarantie 2%,26.25
2026-02-27,Zwitserleven Ultra Long Duration Fonds,23.12
2026-02-27,Zwitserleven Selectie Fonds,41.12
2026-02-27,Zwitserleven VP Wereld Aandelen,13.68
2026-02-27,Zwitserleven PW Vastrentendfonds Nederland 3%,20.12
2026-02-27,Zwitser­leven Geldmarkt­fonds,25.22
2026-02-27,Zwitserleven Vanguard Small Cap Fund,27.91
2026-02-27,Zwitserleven Vastgoedfonds,26.02
2026-02-27,Zwitserleven Wereld Aandelenfonds,87.64
2026-02-27,Zwitserleven PW Vastrentendfonds,19.65
2026-02-27,Zwitserleven PPI iShares Government Bond index Fund,50.72
2026-02-27,ASN Duurzaam Aandelenfonds,200.2
2026-02-27,Zwitser­leven PPI Geldmarkt­fonds,50.43
2026-02-27,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.46
2026-03-02,Etappe Staatsobligaties 10+ Fonds,22.08
2026-03-02,Zwitserleven Amerika Aandelenfonds,99.29
2026-03-02,Wereld Beheer Mixfonds,39.49
2026-03-02,ASN Duurzaam Aandelenfonds,200.92
2026-03-02,PP Wereld Aandelenfonds,78.66
2026-03-02,Zwitserleven Credits Hypotheken Mixfonds,11.49
2026-03-02,Optimaal Staatsobligaties 10+ Fonds,22.25
2026-03-02,Etappe Euro Aandelen­fonds,63.36
2026-03-02,Etappe Euro Obligatie­fonds,26.06
2026-03-02,Zwitserleven MaatschappijGarantie plus,53.44
2026-03-02,ASN Milieu & Waterfonds,53.6
2026-03-02,PP Euro Obligatiefonds,25.93
2026-03-02,Optimaal Euro Obligatiefonds,25.04
2026-03-02,Optimaal Vastgoedfonds,35.82
2026-03-02,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,51.1
2026-03-02,Optimaalfonds Oranje,38.33
2026-03-02,PP Euro Aandelenfonds,66.61
2026-03-02,ASN Duurzaam Obligatiefonds,25.81
2026-03-02,Zwitserleven PW Vastrentendfonds,19.67
2026-03-02,PP Euro Mixfonds,43.06
2026-03-02,PP Optimaal Euro Mixfonds,42.17
2026-03-02,Euro Obligatiefonds,24.84
2026-03-02,Zwitserleven Mixfonds,60.12
2026-03-02,Zwitserleven Index Aandelenfonds Opkomende Landen,35.73
2026-03-02,Zwitserleven Index Wereld Aandelenfonds,91.28
2026-03-02,Zwitserleven Government Bonds 10+ Fonds,8.37
2026-03-02,Zwitserleven Credits Fonds,11.56
2026-03-02,Zwitserleven Index Aandelenfonds Europa,44.86
2026-03-02,Zwitserleven Index Aandelenfonds Noord-Amerika,49.11
2026-03-02,Zwitserleven Europees Aandelenfonds,39.21
2026-03-02,Zwitserleven Obligatiefonds,17.68
2026-03-02,Zwitserleven Kortlopend Obligatiefonds,6.1
2026-03-02,Zwitserleven Lifestyle Garantie,168.65
2026-03-02,Zwitserleven Duurzaam Wereld Aandelenfonds,37.64
2026-03-02,Zwitserleven Index Aandelenfonds Pacific,39.89
2026-03-02,Zwitserleven MaatschappijGarantie (3%),46.38
2026-03-02,Euro Aandelen­fonds,62.21
2026-03-02,Euro Mixfonds,39.96
2026-03-02,Zwitserleven MaatschappijGarantie (2%),41.62
2026-03-02,Zwitserleven PW Garantie Plusfonds,18.42
2026-03-02,Zwitserleven RendementsGarantie 1%,23.12
2026-03-02,Zwitserleven PW Vastrentendfonds Nederland 3%,20.15
2026-03-02,Zwitserleven PW Collectief Garantiefonds,20.34
2026-03-02,Zwitserleven PW Europees Beheer Fonds 3%,189.91
2026-03-02,Zwitserleven PW Europees Beheer Fonds 4%,191.86
2026-03-02,Optimaal Wereld Aandelenfonds,74.64
2026-03-02,Zwitserleven Ultra Long Duration Fonds,23.41
2026-03-02,Zwitserleven PW Garantiefonds,13.49
2026-03-02,Zwitserleven RZL Azië Aandelenfonds,50.95
2026-03-02,Zwitserleven RZL Wereld Aandelenfonds,63.03
2026-03-02,Zwitserleven PW Wereldbeheerfonds 4%,142.21
2026-03-02,Zwitserleven RZL Euro Mixfonds,45.29
2026-03-02,Zwitserleven PW Verzekerd Rendementfonds,15.22
2026-03-02,Zwitserleven RZL Euro Kortlopend Obligatiefonds,20.09
2026-03-02,Zwitserleven PW Wereldbeheerfonds 3%,140.94
2026-03-02,Zwitserleven RZL Amerika Aandelenfonds,90.56
2026-03-02,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.52
2026-03-02,Zwitserleven PW Garandement,16.02
2026-03-02,Zwitserleven PPI iShares Government Bond index Fund,50.76
2026-03-02,Zwitserleven PW Safetyfonds,113.22
2026-03-02,Zwitserleven Long Duration Fonds,27.38
2026-03-02,Zwitserleven Medium Duration Fonds,28.54
2026-03-02,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,50.76
2026-03-02,Zwitserleven RZL Vastgoedfonds,47.36
2026-03-02,Zwitserleven PW Doorlopend Garantiefonds,13.52
2026-03-02,Zwitserleven PW Vastrentendfonds Nederland 4%,20.15
2026-03-02,Zwitserleven RendementsGarantie 2%,26.26
2026-03-02,Zwitserleven VP Wereld Aandelen,13.63
2026-03-02,Zwitserleven RZL Europa Aandelenfonds,59.38
2026-03-02,Zwitserleven PPI Vanguard Small Cap Fund,55.71
2026-03-02,Zwitserleven VP Selectie,10.48
2026-03-02,Zwitserleven RZL Euro Obligatiefonds,26.87
2026-03-02,Zwitserleven VP Credits Hypothekenmix,10.08
2026-03-02,Zwitser­leven PPI Geldmarkt­fonds,50.44
2026-03-02,Zwitserleven Vastgoedfonds,25.94
2026-03-02,Zwitser­leven Vanguard US 500 Stock Index Fund,25.38
2026-03-02,Zwitserleven Wereld Aandelenfonds,87.4
2026-03-02,Zwitserleven Selectie Fonds,41.14
2026-03-02,Zwitser­leven Geldmarkt­fonds,25.22
2026-03-02,Zwitserleven VP Obligatie,8.97
2026-03-02,Zwitserleven Vanguard Small Cap Fund,27.79
2026-03-03,Etappe Euro Aandelen­fonds,62.32
2026-03-03,Zwitserleven Credits Fonds,11.52
2026-03-03,Etappe Staatsobligaties 10+ Fonds,21.95
2026-03-03,PP Euro Mixfonds,42.64
2026-03-03,Zwitserleven Kortlopend Obligatiefonds,6.09
2026-03-03,ASN Duurzaam Aandelenfonds,200.21
2026-03-03,Zwitserleven Index Aandelenfonds Opkomende Landen,35.49
2026-03-03,ASN Duurzaam Obligatiefonds,25.74
2026-03-03,Optimaal Wereld Aandelenfonds,74.33
2026-03-03,Zwitserleven Obligatiefonds,17.64
2026-03-03,ASN Milieu & Waterfonds,53.63
2026-03-03,Optimaal Staatsobligaties 10+ Fonds,22.13
2026-03-03,Optimaalfonds Oranje,38.22
2026-03-03,PP Euro Aandelenfonds,65.52
2026-03-03,Zwitserleven MaatschappijGarantie plus,53.46
2026-03-03,Zwitserleven Amerika Aandelenfonds,100.27
2026-03-03,Euro Mixfonds,39.58
2026-03-03,Zwitserleven RZL Euro Obligatiefonds,26.8
2026-03-03,PP Euro Obligatiefonds,25.86
2026-03-03,Zwitserleven Vastgoedfonds,26.03
2026-03-03,Optimaal Euro Obligatiefonds,24.98
2026-03-03,Zwitserleven Credits Hypotheken Mixfonds,11.46
2026-03-03,Zwitserleven Duurzaam Wereld Aandelenfonds,37.62
2026-03-03,Zwitserleven Europees Aandelenfonds,38.57
2026-03-03,Euro Aandelen­fonds,61.19
2026-03-03,Zwitserleven Index Aandelenfonds Pacific,39.28
2026-03-03,Zwitserleven Vanguard Small Cap Fund,28.01
2026-03-03,Zwitserleven Ultra Long Duration Fonds,23.26
2026-03-03,Zwitserleven RZL Vastgoedfonds,47.64
2026-03-03,Zwitserleven MaatschappijGarantie (2%),41.63
2026-03-03,Zwitserleven PPI iShares Government Bond index Fund,50.87
2026-03-03,Etappe Euro Obligatie­fonds,25.99
2026-03-03,Zwitserleven Lifestyle Garantie,168.7
2026-03-03,Zwitserleven Long Duration Fonds,27.15
2026-03-03,Zwitserleven Mixfonds,59.54
2026-03-03,Zwitserleven MaatschappijGarantie (3%),46.39
2026-03-03,PP Wereld Aandelenfonds,78.33
2026-03-03,Wereld Beheer Mixfonds,39.38
2026-03-03,Zwitserleven PW Wereldbeheerfonds 4%,141.8
2026-03-03,Zwitserleven VP Obligatie,8.94
2026-03-03,Zwitserleven Index Wereld Aandelenfonds,90.9
2026-03-03,Zwitserleven PW Wereldbeheerfonds 3%,140.54
2026-03-03,Zwitserleven RZL Amerika Aandelenfonds,91.44
2026-03-03,PP Optimaal Euro Mixfonds,41.76
2026-03-03,Zwitserleven PW Verzekerd Rendementfonds,15.11
2026-03-03,Zwitserleven RZL Wereld Aandelenfonds,62.76
2026-03-03,Zwitserleven PW Europees Beheer Fonds 3%,188.08
2026-03-03,Zwitserleven PW Garantie Plusfonds,18.31
2026-03-03,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,51.0
2026-03-03,Zwitserleven PW Vastrentendfonds,19.62
2026-03-03,Zwitserleven PW Europees Beheer Fonds 4%,190.01
2026-03-03,Zwitserleven RZL Azië Aandelenfonds,50.51
2026-03-03,Optimaal Vastgoedfonds,36.04
2026-03-03,Zwitserleven RZL Euro Mixfonds,44.85
2026-03-03,Zwitser­leven Vanguard US 500 Stock Index Fund,25.39
2026-03-03,Euro Obligatiefonds,24.77
2026-03-03,Zwitserleven PW Safetyfonds,112.37
2026-03-03,Zwitserleven PW Doorlopend Garantiefonds,13.48
2026-03-03,Zwitserleven PW Vastrentendfonds Nederland 4%,20.09
2026-03-03,Zwitserleven PW Garandement,15.97
2026-03-03,Zwitserleven PW Vastrentendfonds Nederland 3%,20.09
2026-03-03,Zwitserleven Wereld Aandelenfonds,87.66
2026-03-03,Zwitserleven RZL Europa Aandelenfonds,58.41
2026-03-03,Zwitserleven Government Bonds 10+ Fonds,8.33
2026-03-03,Zwitserleven VP Credits Hypothekenmix,10.06
2026-03-03,Zwitserleven RendementsGarantie 1%,23.12
2026-03-03,Zwitserleven RendementsGarantie 2%,26.26
2026-03-03,Zwitserleven Selectie Fonds,41.15
2026-03-03,Zwitserleven PW Collectief Garantiefonds,20.23
2026-03-03,Zwitserleven PW Garantiefonds,13.41
2026-03-03,Zwitserleven RZL Euro Kortlopend Obligatiefonds,20.07
2026-03-03,Zwitserleven VP Wereld Aandelen,13.67
2026-03-03,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.47
2026-03-03,Zwitserleven Medium Duration Fonds,28.45
2026-03-03,Zwitserleven Index Aandelenfonds Noord-Amerika,49.66
2026-03-03,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,50.78
2026-03-03,Zwitserleven PPI Vanguard Small Cap Fund,56.14
2026-03-03,Zwitserleven Index Aandelenfonds Europa,44.16
2026-03-03,Zwitser­leven Geldmarkt­fonds,25.23
2026-03-03,Zwitser­leven PPI Geldmarkt­fonds,50.45
2026-03-03,Zwitserleven VP Selectie,10.5
2026-03-04,Euro Aandelen­fonds,59.21
2026-03-04,ASN Milieu & Waterfonds,52.46
2026-03-04,Zwitserleven Selectie Fonds,40.89
2026-03-04,ASN Duurzaam Aandelenfonds,196.61
2026-03-04,Zwitserleven RZL Euro Obligatiefonds,26.66
2026-03-04,Zwitserleven Amerika Aandelenfonds,100.26
2026-03-04,PP Wereld Aandelenfonds,76.83
2026-03-04,Etappe Euro Obligatie­fonds,25.86
2026-03-04,PP Euro Obligatiefonds,25.73
2026-03-04,PP Euro Mixfonds,41.83
2026-03-04,ASN Duurzaam Obligatiefonds,25.6
2026-03-04,Euro Mixfonds,38.82
2026-03-04,Optimaal Euro Obligatiefonds,24.85
2026-03-04,Optimaal Wereld Aandelenfonds,72.9
2026-03-04,Optimaalfonds Oranje,37.8
2026-03-04,PP Euro Aandelenfonds,63.39
2026-03-04,Zwitserleven Mixfonds,58.41
2026-03-04,Etappe Staatsobligaties 10+ Fonds,21.76
2026-03-04,Zwitserleven Duurzaam Wereld Aandelenfonds,36.97
2026-03-04,Zwitserleven PW Vastrentendfonds,19.52
2026-03-04,Zwitserleven Obligatiefonds,17.55
2026-03-04,Etappe Euro Aandelen­fonds,60.3
2026-03-04,PP Optimaal Euro Mixfonds,40.96
2026-03-04,Zwitserleven Kortlopend Obligatiefonds,6.08
2026-03-04,Zwitserleven Europees Aandelenfonds,37.32
2026-03-04,Zwitserleven Government Bonds 10+ Fonds,8.25
2026-03-04,Zwitserleven Credits Fonds,11.48
2026-03-04,Zwitserleven Vanguard Small Cap Fund,27.6
2026-03-04,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.38
2026-03-04,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,50.3
2026-03-04,Zwitserleven Medium Duration Fonds,28.28
2026-03-04,Zwitserleven MaatschappijGarantie (3%),46.39
2026-03-04,Zwitserleven Lifestyle Garantie,168.71
2026-03-04,Zwitserleven Index Wereld Aandelenfonds,89.26
2026-03-04,Zwitserleven MaatschappijGarantie (2%),41.63
2026-03-04,Zwitserleven Credits Hypotheken Mixfonds,11.43
2026-03-04,Zwitserleven MaatschappijGarantie plus,53.47
2026-03-04,Wereld Beheer Mixfonds,38.94
2026-03-04,Optimaal Vastgoedfonds,35.78
2026-03-04,Zwitserleven VP Wereld Aandelen,13.51
2026-03-04,Zwitser­leven Vanguard US 500 Stock Index Fund,25.15
2026-03-04,Zwitserleven PW Wereldbeheerfonds 3%,138.99
2026-03-04,Zwitserleven PW Doorlopend Garantiefonds,13.41
2026-03-04,Zwitserleven RZL Amerika Aandelenfonds,91.43
2026-03-04,Zwitserleven PW Europees Beheer Fonds 3%,184.5
2026-03-04,Zwitserleven PW Europees Beheer Fonds 4%,186.39
2026-03-04,Zwitserleven PW Garantie Plusfonds,18.09
2026-03-04,Zwitserleven PW Garandement,15.89
2026-03-04,Zwitserleven RZL Europa Aandelenfonds,56.52
2026-03-04,Zwitserleven PW Vastrentendfonds Nederland 3%,19.99
2026-03-04,Zwitserleven RZL Azië Aandelenfonds,49.49
2026-03-04,Optimaal Staatsobligaties 10+ Fonds,21.93
2026-03-04,Zwitserleven PW Vastrentendfonds Nederland 4%,19.99
2026-03-04,Zwitserleven PW Safetyfonds,110.72
2026-03-04,Zwitserleven RZL Euro Mixfonds,44.0
2026-03-04,Zwitserleven VP Credits Hypothekenmix,10.03
2026-03-04,Zwitserleven PW Verzekerd Rendementfonds,14.9
2026-03-04,Zwitserleven PW Wereldbeheerfonds 4%,140.23
2026-03-04,Zwitserleven Long Duration Fonds,26.96
2026-03-04,Zwitserleven RZL Euro Kortlopend Obligatiefonds,20.03
2026-03-04,Zwitserleven RZL Vastgoedfonds,47.31
2026-03-04,Zwitserleven PW Garantiefonds,13.27
2026-03-04,Zwitserleven VP Selectie,10.45
2026-03-04,Zwitserleven PPI iShares Government Bond index Fund,50.66
2026-03-04,Zwitserleven RZL Wereld Aandelenfonds,61.55
2026-03-04,Zwitserleven RendementsGarantie 1%,23.13
2026-03-04,Zwitserleven RendementsGarantie 2%,26.26
2026-03-04,Zwitserleven Ultra Long Duration Fonds,23.2
2026-03-04,Zwitserleven PW Collectief Garantiefonds,20.02
2026-03-04,Zwitserleven VP Obligatie,8.89
2026-03-04,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.81
2026-03-04,Zwitserleven Index Aandelenfonds Europa,42.88
2026-03-04,Zwitserleven PPI Vanguard Small Cap Fund,55.32
2026-03-04,Zwitser­leven PPI Geldmarkt­fonds,50.45
2026-03-04,Zwitserleven Index Aandelenfonds Noord-Amerika,49.61
2026-03-04,Zwitserleven Vastgoedfonds,25.77
2026-03-04,Zwitserleven Wereld Aandelenfonds,86.66
2026-03-04,Zwitser­leven Geldmarkt­fonds,25.23
2026-03-04,Euro Obligatiefonds,24.65
2026-03-04,Zwitserleven Index Aandelenfonds Pacific,38.02
2026-03-04,Zwitserleven Index Aandelenfonds Opkomende Landen,34.49
2026-03-05,ASN Milieu & Waterfonds,52.23
2026-03-05,PP Wereld Aandelenfonds,76.71
2026-03-05,Euro Obligatiefonds,24.7
2026-03-05,Zwitserleven Europees Aandelenfonds,37.71
2026-03-05,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.88
2026-03-05,Zwitserleven Duurzaam Wereld Aandelenfonds,37.02
2026-03-05,Etappe Euro Obligatie­fonds,25.92
2026-03-05,Zwitserleven Index Wereld Aandelenfonds,88.66
2026-03-05,Optimaal Euro Obligatiefonds,24.91
2026-03-05,Etappe Staatsobligaties 10+ Fonds,21.83
2026-03-05,Optimaal Vastgoedfonds,35.51
2026-03-05,Optimaal Wereld Aandelenfonds,72.79
2026-03-05,Optimaalfonds Oranje,37.81
2026-03-05,ASN Duurzaam Aandelenfonds,196.99
2026-03-05,Wereld Beheer Mixfonds,38.95
2026-03-05,Zwitserleven Index Aandelenfonds Noord-Amerika,49.64
2026-03-05,Zwitserleven Index Aandelenfonds Opkomende Landen,33.07
2026-03-05,PP Euro Obligatiefonds,25.79
2026-03-05,Zwitserleven Index Aandelenfonds Pacific,38.87
2026-03-05,Zwitserleven MaatschappijGarantie (3%),46.4
2026-03-05,PP Euro Mixfonds,42.16
2026-03-05,Zwitserleven Credits Hypotheken Mixfonds,11.45
2026-03-05,Optimaal Staatsobligaties 10+ Fonds,22.0
2026-03-05,Euro Aandelen­fonds,59.98
2026-03-05,Etappe Euro Aandelen­fonds,61.09
2026-03-05,Euro Mixfonds,39.12
2026-03-05,Zwitserleven Index Aandelenfonds Europa,43.29
2026-03-05,ASN Duurzaam Obligatiefonds,25.66
2026-03-05,PP Euro Aandelenfonds,64.22
2026-03-05,Zwitserleven Government Bonds 10+ Fonds,8.28
2026-03-05,Zwitserleven Medium Duration Fonds,28.35
2026-03-05,Zwitserleven MaatschappijGarantie plus,53.47
2026-03-05,Zwitserleven Long Duration Fonds,26.98
2026-03-05,Zwitserleven Mixfonds,58.78
2026-03-05,Zwitserleven Kortlopend Obligatiefonds,6.09
2026-03-05,Zwitserleven Lifestyle Garantie,168.72
2026-03-05,Zwitserleven MaatschappijGarantie (2%),41.63
2026-03-05,Zwitserleven Credits Fonds,11.49
2026-03-05,PP Optimaal Euro Mixfonds,41.28
2026-03-05,Zwitserleven Vastgoedfonds,25.84
2026-03-05,Zwitserleven Amerika Aandelenfonds,100.06
2026-03-05,Zwitserleven RZL Euro Kortlopend Obligatiefonds,20.05
2026-03-05,Zwitserleven Selectie Fonds,40.98
2026-03-05,Zwitser­leven Vanguard US 500 Stock Index Fund,25.34
2026-03-05,Zwitser­leven PPI Geldmarkt­fonds,50.45
2026-03-05,Zwitserleven PW Doorlopend Garantiefonds,13.44
2026-03-05,Zwitserleven PW Europees Beheer Fonds 3%,185.93
2026-03-05,Zwitserleven PW Europees Beheer Fonds 4%,187.84
2026-03-05,Zwitserleven PW Garandement,15.93
2026-03-05,Zwitserleven VP Obligatie,8.9
2026-03-05,Zwitserleven PW Garantiefonds,13.33
2026-03-05,Zwitser­leven Geldmarkt­fonds,25.23
2026-03-05,Zwitserleven Wereld Aandelenfonds,86.34
2026-03-05,Zwitserleven PW Vastrentendfonds Nederland 4%,20.04
2026-03-05,Zwitserleven Obligatiefonds,17.58
2026-03-05,Zwitserleven PW Wereldbeheerfonds 3%,139.03
2026-03-05,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,50.67
2026-03-05,Zwitserleven RZL Amerika Aandelenfonds,91.32
2026-03-05,Zwitserleven RZL Azië Aandelenfonds,47.98
2026-03-05,Zwitserleven PW Safetyfonds,111.39
2026-03-05,Zwitserleven PW Garantie Plusfonds,18.18
2026-03-05,Zwitserleven PPI Vanguard Small Cap Fund,55.16
2026-03-05,Zwitserleven PPI iShares Government Bond index Fund,50.33
2026-03-05,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.41
2026-03-05,Zwitserleven VP Wereld Aandelen,13.46
2026-03-05,Zwitserleven VP Credits Hypothekenmix,10.05
2026-03-05,Zwitserleven Ultra Long Duration Fonds,23.04
2026-03-05,Zwitserleven RZL Vastgoedfonds,46.95
2026-03-05,Zwitserleven RendementsGarantie 2%,26.27
2026-03-05,Zwitserleven RendementsGarantie 1%,23.13
2026-03-05,Zwitserleven RZL Wereld Aandelenfonds,61.46
2026-03-05,Zwitserleven RZL Europa Aandelenfonds,57.26
2026-03-05,Zwitserleven PW Vastrentendfonds,19.57
2026-03-05,Zwitserleven PW Wereldbeheerfonds 4%,140.27
2026-03-05,Zwitserleven PW Verzekerd Rendementfonds,14.98
2026-03-05,Zwitserleven Vanguard Small Cap Fund,27.52
2026-03-05,Zwitserleven RZL Euro Mixfonds,44.34
2026-03-05,Zwitserleven RZL Euro Obligatiefonds,26.72
2026-03-05,Zwitserleven VP Selectie,10.42
2026-03-05,Zwitserleven PW Vastrentendfonds Nederland 3%,20.04
2026-03-05,Zwitserleven PW Collectief Garantiefonds,20.11
2026-03-06,ASN Milieu & Waterfonds,51.99
2026-03-06,ASN Duurzaam Aandelenfonds,196.06
2026-03-06,Etappe Euro Aandelen­fonds,60.23
2026-03-06,PP Euro Aandelenfonds,63.32
2026-03-06,Optimaal Euro Obligatiefonds,24.8
2026-03-06,Euro Mixfonds,38.76
2026-03-06,Zwitserleven Index Aandelenfonds Pacific,38.61
2026-03-06,Optimaal Staatsobligaties 10+ Fonds,21.81
2026-03-06,ASN Duurzaam Obligatiefonds,25.54
2026-03-06,Zwitserleven Index Aandelenfonds Noord-Amerika,49.62
2026-03-06,Optimaalfonds Oranje,37.68
2026-03-06,Optimaal Vastgoedfonds,35.48
2026-03-06,PP Optimaal Euro Mixfonds,40.9
2026-03-06,Euro Obligatiefonds,24.6
2026-03-06,Zwitserleven Kortlopend Obligatiefonds,6.08
2026-03-06,Etappe Euro Obligatie­fonds,25.81
2026-03-06,PP Euro Obligatiefonds,25.68
2026-03-06,Optimaal Wereld Aandelenfonds,72.61
2026-03-06,PP Wereld Aandelenfonds,76.52
2026-03-06,Zwitserleven Duurzaam Wereld Aandelenfonds,36.95
2026-03-06,Zwitserleven Long Duration Fonds,26.79
2026-03-06,Zwitserleven Index Wereld Aandelenfonds,88.95
2026-03-06,Zwitserleven Government Bonds 10+ Fonds,8.21
2026-03-06,Zwitserleven Credits Fonds,11.47
2026-03-06,Zwitserleven Credits Hypotheken Mixfonds,11.42
2026-03-06,Zwitserleven Index Aandelenfonds Europa,42.92
2026-03-06,PP Euro Mixfonds,41.77
2026-03-06,Euro Aandelen­fonds,59.13
2026-03-06,Zwitserleven Europees Aandelenfonds,37.28
2026-03-06,Zwitserleven Index Aandelenfonds Opkomende Landen,33.98
2026-03-06,Wereld Beheer Mixfonds,38.82
2026-03-06,Zwitserleven Lifestyle Garantie,168.74
2026-03-06,Zwitserleven Medium Duration Fonds,28.19
2026-03-06,Zwitserleven Obligatiefonds,17.51
2026-03-06,Zwitserleven Mixfonds,58.32
2026-03-06,Zwitser­leven Vanguard US 500 Stock Index Fund,25.19
2026-03-06,Zwitserleven MaatschappijGarantie plus,53.48
2026-03-06,Zwitserleven MaatschappijGarantie (2%),41.63
2026-03-06,Zwitserleven Wereld Aandelenfonds,86.47
2026-03-06,Zwitserleven RZL Euro Kortlopend Obligatiefonds,20.02
2026-03-06,Zwitserleven MaatschappijGarantie (3%),46.4
2026-03-06,Etappe Staatsobligaties 10+ Fonds,21.64
2026-03-06,Zwitserleven PW Vastrentendfonds Nederland 3%,19.95
2026-03-06,Zwitserleven PW Europees Beheer Fonds 4%,186.1
2026-03-06,Zwitserleven PW Garandement,15.86
2026-03-06,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.62
2026-03-06,Zwitserleven PW Garantiefonds,13.25
2026-03-06,Zwitserleven PPI iShares Government Bond index Fund,50.49
2026-03-06,Zwitserleven PW Garantie Plusfonds,18.06
2026-03-06,Zwitserleven PW Europees Beheer Fonds 3%,184.21
2026-03-06,Zwitserleven PW Doorlopend Garantiefonds,13.39
2026-03-06,Zwitserleven RZL Amerika Aandelenfonds,91.15
2026-03-06,Zwitserleven PW Verzekerd Rendementfonds,14.88
2026-03-06,Zwitserleven PW Collectief Garantiefonds,19.98
2026-03-06,Zwitserleven PW Safetyfonds,110.54
2026-03-06,Zwitserleven Vastgoedfonds,25.73
2026-03-06,Zwitserleven PW Vastrentendfonds,19.48
2026-03-06,Zwitserleven RZL Azië Aandelenfonds,48.74
2026-03-06,Zwitserleven PW Wereldbeheerfonds 4%,139.8
2026-03-06,Zwitserleven RZL Euro Mixfonds,43.93
2026-03-06,Zwitserleven PW Vastrentendfonds Nederland 4%,19.95
2026-03-06,Zwitserleven Amerika Aandelenfonds,99.95
2026-03-06,Zwitserleven RZL Wereld Aandelenfonds,61.31
2026-03-06,Zwitserleven RZL Euro Obligatiefonds,26.61
2026-03-06,Zwitserleven RZL Europa Aandelenfonds,56.45
2026-03-06,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.29
2026-03-06,Zwitserleven Ultra Long Duration Fonds,23.19
2026-03-06,Zwitserleven VP Obligatie,8.85
2026-03-06,Zwitserleven Selectie Fonds,40.87
2026-03-06,Zwitserleven PPI Vanguard Small Cap Fund,54.89
2026-03-06,Zwitserleven Vanguard Small Cap Fund,27.38
2026-03-06,Zwitserleven VP Selectie,10.41
2026-03-06,Zwitserleven RendementsGarantie 1%,23.13
2026-03-06,Zwitser­leven PPI Geldmarkt­fonds,50.45
2026-03-06,Zwitserleven RZL Vastgoedfonds,46.9
2026-03-06,Zwitserleven PW Wereldbeheerfonds 3%,138.56
2026-03-06,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,50.38
2026-03-06,Zwitserleven VP Wereld Aandelen,13.48
2026-03-06,Zwitserleven VP Credits Hypothekenmix,10.02
2026-03-06,Zwitserleven RendementsGarantie 2%,26.27
2026-03-06,Zwitser­leven Geldmarkt­fonds,25.23
2026-03-09,Zwitser­leven Vanguard US 500 Stock Index Fund,24.85
2026-03-09,ASN Duurzaam Obligatiefonds,25.48
2026-03-09,Zwitserleven Long Duration Fonds,26.9
2026-03-09,PP Wereld Aandelenfonds,75.63
2026-03-09,Etappe Euro Obligatie­fonds,25.73
2026-03-09,Zwitserleven Index Aandelenfonds Pacific,37.35
2026-03-09,Zwitserleven PW Safetyfonds,109.9
2026-03-09,ASN Milieu & Waterfonds,51.08
2026-03-09,Euro Mixfonds,38.49
2026-03-09,Zwitserleven Medium Duration Fonds,28.12
2026-03-09,PP Euro Obligatiefonds,25.61
2026-03-09,Optimaal Euro Obligatiefonds,24.73
2026-03-09,Optimaal Wereld Aandelenfonds,71.76
2026-03-09,Optimaalfonds Oranje,37.42
2026-03-09,Optimaal Vastgoedfonds,35.19
